City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapuskasing,49.4169,-82.4331,17.05,55,75,3.6,CA,1693432812
1,longyearbyen,78.2186,15.6401,6.91,93,100,3.09,SJ,1693432813
2,invercargill,-46.4,168.35,12.79,61,54,5.81,NZ,1693432788
3,adamstown,-25.066,-130.1015,20.74,89,100,9.27,PN,1693432822
4,stanley,54.868,-1.6985,11.14,94,0,1.03,GB,1693432825
5,atafu village,-8.5421,-172.5159,28.86,75,62,6.92,TK,1693432825
6,hamilton,39.1834,-84.5333,23.85,62,0,5.14,US,1693432763
7,albany,42.6001,-73.9662,23.53,68,26,4.96,US,1693432375
8,rio grande,-32.035,-52.0986,17.06,86,45,4.29,BR,1693432706
9,hithadhoo,-0.6,73.0833,27.62,73,97,1.88,MV,1693432828
10,vorgashor,67.5833,63.95,6.44,82,72,3.13,RU,1693432832
11,papatowai,-46.5619,169.4708,10.72,64,33,2.3,NZ,1693432833
12,college,64.8569,-147.8028,13.38,94,100,3.6,US,1693432822
13,lubuklinggau,-3.3,102.8667,22.46,90,98,1.55,ID,1693432833
14,bajil,15.0584,43.2851,32.99,49,65,1.96,YE,1693432834
15,souillac,-20.5167,57.5167,21.21,64,40,3.09,MU,1693432834
16,ola,59.5833,151.2833,13.29,90,99,1.77,RU,1693432835
17,port-aux-francais,-49.35,70.2167,4.75,97,100,18.66,TF,1693432835
18,codigoro,44.8311,12.1142,18.36,79,8,1.36,IT,1693432835
19,dzerzhinsk,56.2389,43.4631,8.9,100,9,0.0,RU,1693432836
20,bethel,41.3712,-73.414,27.51,65,4,0.45,US,1693432745
21,port alfred,-33.5906,26.891,22.92,22,0,4.15,ZA,1693432836
22,banjarmasin,-3.3244,114.591,23.08,92,33,0.7,ID,1693432832
23,yellowknife,62.456,-114.3525,21.29,56,100,2.06,CA,1693432331
24,wailua homesteads,22.0669,-159.378,29.44,77,40,6.17,US,1693432629
25,san patricio,28.017,-97.5169,37.87,17,2,4.26,US,1693432837
26,kapa'a,22.0752,-159.319,28.39,73,15,3.13,US,1693432837
27,blackmans bay,-43.0167,147.3167,11.07,84,100,3.65,AU,1693432838
28,tinajo,29.0788,-13.7081,23.49,69,40,5.66,ES,1693432838
29,grand gaube,-20.0064,57.6608,21.22,68,88,1.79,MU,1693432838
30,vadso,70.0744,29.7487,13.49,87,20,3.09,NO,1693432839
31,puerto ayora,-0.7393,-90.3518,29.98,91,98,5.36,EC,1693432839
32,waitangi,-43.9535,-176.5597,10.46,86,100,2.24,NZ,1693432839
33,edinburgh of the seven seas,-37.0676,-12.3116,11.92,67,43,7.21,SH,1693432840
34,kittila,67.6647,24.8936,12.08,94,0,1.03,FI,1693432840
35,campo gallo,-26.5833,-62.85,26.32,28,0,2.33,AR,1693432840
